hour,location,Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,address
6,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
6,REWE,0,0,0,0,0,0,0,"Eschengraben 47, 13189 Berlin"
6,Neumann Forum,0,0,0,0,0,0,0,"Neumannstraße 13, 13189 Berlin"
6,S Pankow-Heinersdorf,4,66,53,66,56,56,19,13187 Berlin
6,PENNY,0,0,0,0,0,0,0,"Wisbyer Str. 38, 13189 Berlin"
7,Brennerberg,5,4,7,4,5,4,0,"Tiroler Str. 33, 13187 Berlin"
7,Kissingen-Stadion,0,0,0,0,0,0,0,"Forchheimer Str. 22, 13189 Berlin"
7,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
7,U Vinetastr.,10,46,51,57,47,45,18,13189 Berlin
7,S+U Pankow,7,57,63,65,65,55,18,13187 Berlin
7,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
7,REWE,0,27,22,26,24,26,22,"Eschengraben 47, 13189 Berlin"
7,Neumann Forum,0,26,25,26,26,27,13,"Neumannstraße 13, 13189 Berlin"
7,S Pankow-Heinersdorf,10,75,71,78,68,66,28,13187 Berlin
7,PENNY,0,25,27,32,32,32,24,"Wisbyer Str. 38, 13189 Berlin"
8,Brennerberg,9,7,12,10,9,14,4,"Tiroler Str. 33, 13187 Berlin"
8,Kissingen-Stadion,0,19,19,19,14,18,0,"Forchheimer Str. 22, 13189 Berlin"
8,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
8,U Vinetastr.,18,59,62,69,57,57,27,13189 Berlin
8,S+U Pankow,13,62,66,73,71,61,26,13187 Berlin
8,Wochenmarkt Pankow,0,0,0,0,0,25,8,"Breite Str. 17, 13187 Berlin"
8,REWE,0,41,36,37,35,37,35,"Eschengraben 47, 13189 Berlin"
8,Neumann Forum,0,47,45,50,47,52,27,"Neumannstraße 13, 13189 Berlin"
8,S Pankow-Heinersdorf,19,73,79,76,68,65,37,13187 Berlin
8,PENNY,0,40,43,50,52,54,40,"Wisbyer Str. 38, 13189 Berlin"
9,Brennerberg,14,11,16,16,13,22,10,"Tiroler Str. 33, 13187 Berlin"
9,Kissingen-Stadion,29,24,22,24,18,24,29,"Forchheimer Str. 22, 13189 Berlin"
9,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
9,U Vinetastr.,25,64,64,73,59,63,36,13189 Berlin
9,S+U Pankow,21,59,62,69,66,61,37,13187 Berlin
9,Wochenmarkt Pankow,0,0,44,38,0,54,17,"Breite Str. 17, 13187 Berlin"
9,REWE,0,54,49,47,45,49,50,"Eschengraben 47, 13189 Berlin"
9,Neumann Forum,0,67,64,75,66,79,47,"Neumannstraße 13, 13189 Berlin"
9,S Pankow-Heinersdorf,31,63,76,65,59,57,45,13187 Berlin
9,PENNY,0,56,60,66,70,75,59,"Wisbyer Str. 38, 13189 Berlin"
10,Brennerberg,20,15,18,21,17,24,16,"Tiroler Str. 33, 13187 Berlin"
10,Kissingen-Stadion,48,28,23,27,22,28,40,"Forchheimer Str. 22, 13189 Berlin"
10,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
10,U Vinetastr.,33,64,61,71,56,65,45,13189 Berlin
10,S+U Pankow,29,54,58,60,59,59,47,13187 Berlin
10,Wochenmarkt Pankow,0,0,74,66,0,86,28,"Breite Str. 17, 13187 Berlin"
10,REWE,0,63,57,55,54,60,64,"Eschengraben 47, 13189 Berlin"
10,Neumann Forum,0,80,76,91,75,96,66,"Neumannstraße 13, 13189 Berlin"
10,S Pankow-Heinersdorf,42,53,67,51,50,50,53,13187 Berlin
10,PENNY,0,68,73,78,83,89,77,"Wisbyer Str. 38, 13189 Berlin"
11,Brennerberg,26,17,19,25,21,22,22,"Tiroler Str. 33, 13187 Berlin"
11,Kissingen-Stadion,51,31,21,27,25,29,41,"Forchheimer Str. 22, 13189 Berlin"
11,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
11,U Vinetastr.,39,62,60,68,54,68,53,13189 Berlin
11,S+U Pankow,37,56,61,55,59,62,56,13187 Berlin
11,Wochenmarkt Pankow,0,0,81,78,0,100,35,"Breite Str. 17, 13187 Berlin"
11,REWE,0,66,59,60,60,69,75,"Eschengraben 47, 13189 Berlin"
11,Neumann Forum,0,82,79,93,76,99,79,"Neumannstraße 13, 13189 Berlin"
11,S Pankow-Heinersdorf,50,49,60,44,50,52,59,13187 Berlin
11,PENNY,0,77,81,82,88,96,89,"Wisbyer Str. 38, 13189 Berlin"
12,Brennerberg,33,19,19,27,23,22,28,"Tiroler Str. 33, 13187 Berlin"
12,Kissingen-Stadion,43,33,19,25,28,28,36,"Forchheimer Str. 22, 13189 Berlin"
12,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
12,U Vinetastr.,43,64,67,70,59,75,58,13189 Berlin
12,S+U Pankow,42,64,69,59,69,70,62,13187 Berlin
12,Wochenmarkt Pankow,0,0,59,65,0,85,33,"Breite Str. 17, 13187 Berlin"
12,REWE,0,64,55,63,63,75,82,"Eschengraben 47, 13189 Berlin"
12,Neumann Forum,0,78,79,89,75,95,82,"Neumannstraße 13, 13189 Berlin"
12,S Pankow-Heinersdorf,55,54,60,48,60,65,65,13187 Berlin
12,PENNY,0,83,85,81,86,99,94,"Wisbyer Str. 38, 13189 Berlin"
13,Brennerberg,43,23,22,29,24,27,36,"Tiroler Str. 33, 13187 Berlin"
13,Kissingen-Stadion,40,33,18,23,29,26,33,"Forchheimer Str. 22, 13189 Berlin"
13,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
13,U Vinetastr.,45,70,81,77,70,83,61,13189 Berlin
13,S+U Pankow,44,74,79,73,83,84,64,13187 Berlin
13,Wochenmarkt Pankow,0,0,35,43,0,55,24,"Breite Str. 17, 13187 Berlin"
13,REWE,0,63,53,64,63,80,86,"Eschengraben 47, 13189 Berlin"
13,Neumann Forum,0,76,82,87,80,93,76,"Neumannstraße 13, 13189 Berlin"
13,S Pankow-Heinersdorf,55,65,67,62,77,83,70,13187 Berlin
13,PENNY,0,88,86,81,81,100,92,"Wisbyer Str. 38, 13189 Berlin"
14,Brennerberg,55,36,36,36,26,35,48,"Tiroler Str. 33, 13187 Berlin"
14,Kissingen-Stadion,42,34,25,24,30,26,34,"Forchheimer Str. 22, 13189 Berlin"
14,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
14,U Vinetastr.,46,80,94,87,86,90,62,13189 Berlin
14,S+U Pankow,43,83,86,89,95,94,63,13187 Berlin
14,Wochenmarkt Pankow,0,0,22,30,0,29,15,"Breite Str. 17, 13187 Berlin"
14,REWE,0,65,58,66,62,83,85,"Eschengraben 47, 13189 Berlin"
14,Neumann Forum,0,81,89,91,88,97,68,"Neumannstraße 13, 13189 Berlin"
14,S Pankow-Heinersdorf,52,75,78,79,93,96,75,13187 Berlin
14,PENNY,0,90,88,84,80,95,86,"Wisbyer Str. 38, 13189 Berlin"
15,Brennerberg,69,60,66,48,39,45,65,"Tiroler Str. 33, 13187 Berlin"
15,Kissingen-Stadion,42,37,42,32,33,33,36,"Forchheimer Str. 22, 13189 Berlin"
15,Diseño,1,1,1,0,0,5,0,"Berliner Str. 53, 13189 Berlin"
15,U Vinetastr.,46,86,100,94,97,90,60,13189 Berlin
15,S+U Pankow,42,86,89,98,100,96,61,13187 Berlin
15,Wochenmarkt Pankow,0,0,15,25,0,14,0,"Breite Str. 17, 13187 Berlin"
15,REWE,0,67,72,70,63,84,82,"Eschengraben 47, 13189 Berlin"
15,Neumann Forum,0,87,94,94,92,100,62,"Neumannstraße 13, 13189 Berlin"
15,S Pankow-Heinersdorf,50,78,87,89,100,99,77,13187 Berlin
15,PENNY,0,88,92,91,81,83,83,"Wisbyer Str. 38, 13189 Berlin"
16,Brennerberg,79,88,95,61,65,53,80,"Tiroler Str. 33, 13187 Berlin"
16,Kissingen-Stadion,41,43,67,48,45,44,35,"Forchheimer Str. 22, 13189 Berlin"
16,Diseño,7,8,5,8,0,11,0,"Berliner Str. 53, 13189 Berlin"
16,U Vinetastr.,44,85,95,92,98,84,57,13189 Berlin
16,S+U Pankow,41,84,86,95,94,88,57,13187 Berlin
16,Wochenmarkt Pankow,0,0,0,19,0,0,0,"Breite Str. 17, 13187 Berlin"
16,REWE,0,68,89,76,66,81,79,"Eschengraben 47, 13189 Berlin"
16,Neumann Forum,0,86,92,90,88,95,56,"Neumannstraße 13, 13189 Berlin"
16,S Pankow-Heinersdorf,48,72,88,87,95,91,78,13187 Berlin
16,PENNY,0,84,95,97,84,70,85,"Wisbyer Str. 38, 13189 Berlin"
17,Brennerberg,79,99,100,70,61,59,86,"Tiroler Str. 33, 13187 Berlin"
17,Kissingen-Stadion,36,52,90,67,70,56,34,"Forchheimer Str. 22, 13189 Berlin"
17,Diseño,21,11,14,20,2,22,8,"Berliner Str. 53, 13189 Berlin"
17,U Vinetastr.,41,74,82,81,89,72,53,13189 Berlin
17,S+U Pankow,40,75,79,83,82,74,53,13187 Berlin
17,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
17,REWE,0,70,100,82,69,77,78,"Eschengraben 47, 13189 Berlin"
17,Neumann Forum,0,75,80,78,74,80,50,"Neumannstraße 13, 13189 Berlin"
17,S Pankow-Heinersdorf,47,60,81,75,82,77,75,13187 Berlin
17,PENNY,0,80,94,96,84,67,90,"Wisbyer Str. 38, 13189 Berlin"
18,Brennerberg,68,86,80,70,47,60,80,"Tiroler Str. 33, 13187 Berlin"
18,Kissingen-Stadion,30,57,97,76,96,60,30,"Forchheimer Str. 22, 13189 Berlin"
18,Diseño,32,14,28,37,34,40,15,"Berliner Str. 53, 13189 Berlin"
18,U Vinetastr.,37,59,67,65,72,59,48,13189 Berlin
18,S+U Pankow,38,63,68,67,68,60,49,13187 Berlin
18,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
18,REWE,0,74,95,81,68,78,85,"Eschengraben 47, 13189 Berlin"
18,Neumann Forum,0,56,62,60,55,60,41,"Neumannstraße 13, 13189 Berlin"
18,S Pankow-Heinersdorf,45,46,69,57,65,63,70,13187 Berlin
18,PENNY,0,75,85,86,79,75,91,"Wisbyer Str. 38, 13189 Berlin"
19,Brennerberg,49,65,59,60,54,58,64,"Tiroler Str. 33, 13187 Berlin"
19,Kissingen-Stadion,0,52,83,69,100,55,0,"Forchheimer Str. 22, 13189 Berlin"
